Company name,Company description,Industry,Work-life balance,Transparency,Toxic culture (R),Supportive culture,Strategy,Leadership,Innovation,Open to feedback,Agility
Allied Irish Banks,Major bank based in Ireland,Financial Services,0.987894597,-0.579102091,0.305961957,-0.158723568,1.223096433,0.050073152,,-0.036803269,-0.001264232
Allied Universal,Security and facility services,Outsourcing & Staffing,-0.237060418,,-0.738395851,-1.649577273,,-1.771462169,,,
Allstate,Insurance group for auto and home,Insurance,0.702163189,0.261027911,0.283765929,-0.774627817,-0.474906568,0.110120185,,0.665185084,0.621906018
Ally Financial,Digital financial services company,Financial Services,0.345774404,0.189421186,-0.900100021,0.108167741,-0.135213903,-0.446819697,,-1.128016559,0.803048404
Alorica,Customer service outsourcing provider,Business Services,0.000534928,-1.081612982,-1.127265583,-1.697194375,0.45668183,-1.250442605,,-1.327481411,1.124095311
Alphabet,Google's parent company,Tech Giants,-0.467535053,0.837689168,0.849934926,-0.261829542,0.300664502,0.258665061,-0.054585212,0.825681837,-0.969583676
AlphaSights,Expert network for business insights,Business Consulting,-1.255154894,0.323555451,-2.613851483,-0.864590665,-0.239034133,-1.806575116,,-1.75812844,1.978318517
ALSTOM,French rail transport manufacturer,Industrials,0.097982894,-0.336086471,1.503607696,-0.608624048,1.00155048,-0.343060647,0.21620123,0.129049539,0.477352451
Alvarez & Marsal,Consultancy focused on restructuring,Business Consulting,-0.503977271,1.15874011,-0.785783069,0.093483793,0.354112125,0.649773972,,1.298183175,0.636767862
Amazon,E-commerce and cloud services giant,Tech Giants,-1.634324192,-0.158705571,-2.276575226,-1.960571081,0.716466388,-1.025669684,-0.06160288,-0.414677259,1.956269338
Amazon Flex,Platform for independent Amazon drivers,Internet,0.131896458,1.350833576,0.556768389,-0.869699962,1.71693558,1.408545668,-0.194515834,0.71727832,1.341064175
TikTok,Short-form video app owned by bytedance,Internet,-2.737288751,-1.670474387,-1.915091755,-0.697337652,-0.15724773,-0.971172866,2.315668256,0.02492043,0.998231878
Amazon Fulfillment,Amazon's logistics and warehouse network,Supply Chain & Logistics,-0.017863675,,-1.28694366,-1.419225439,,-0.176525216,,,
Amazon Retail,Amazon's core online retail operation,General Retail,-1.089155157,,-0.251590571,-0.389994791,,0.238792146,,,
Amazon Web Services,Amazon's cloud computing division,Software & IT Services,-2.380944213,0.289173724,-1.020712516,-1.389755009,0.391519793,-0.827620349,1.908512101,0.347839629,1.110347752
AMC Entertainment,Cinema chain,Media & Entertainment,-0.828944947,1.121236841,0.146614772,-1.109535548,0.717334526,0.393792846,,0.351752175,1.362778345
Amdocs,Telecom and media software,Software & IT Services,-0.38066778,-0.148712103,0.514707092,-1.249435836,0.323446606,0.031856161,0.634141875,0.849597378,0.00658378
Amentum,Government and defence contractor,Industrials,-0.027172021,-1.977348363,-0.785405528,-1.307867394,0.389013595,-0.157090364,-0.43336694,-0.44236193,0.846463914
American Airlines,Large American airline,Travel & Leisure,-0.239177814,,0.395929466,-1.11005695,,-0.19480705,,,
American Eagle Outfitters,Fashion retailer aimed at young adults,Specialty Retail & Apparel,-0.024514479,,0.542484556,0.378787313,,0.32246544,,,
American Express,Global credit card and payments firm,Financial Services,0.822080545,0.059929012,0.145225216,0.296577537,0.230693559,0.187303624,,0.274538669,-0.487500505
American Family,Mutual insurance firm based in Wisconsin,Insurance,-0.804836168,-1.771316951,-1.48557196,-1.013043985,-2.940443078,-2.148490903,,-2.447074041,0.210097024
Ameriprise,Financial planning and wealth firm,Financial Services,-0.431163262,0.841275065,0.28929595,-0.41316433,0.744589942,0.816816609,,0.136156929,0.794206754
Amgen,Biotech company focused on cancer drugs,Life Sciences & Biopharma,0.976977414,1.182531109,0.432965163,0.302185588,0.902429225,0.460469411,0.617577834,1.773010486,0.426439623
AMN Healthcare,Staffing firm for healthcare workers,Outsourcing & Staffing,0.482192943,,0.826316799,0.790612118,,0.314478678,,,
AMS,Staffing agency based in Europe,Outsourcing & Staffing,2.940958605,,2.657438549,0.41384274,,0.524147195,,,
Anthropologie,Women's clothing and lifestyle brand,Specialty Retail & Apparel,-0.565372655,,-1.306439999,1.247574329,,0.609291366,,,
Aon,Global professional services,Insurance,-0.168575228,0.159979119,0.979834703,0.552232426,0.224868315,0.524029618,,0.869328259,-0.07686298
Apex Systems,Technology staffing and recruiting firm,Outsourcing & Staffing,-0.142990882,,0.56702215,0.733773297,,0.79365639,,,
Appen,Provider of training data for AI,Software & IT Services,2.097806233,-3.271919728,0.926175976,-0.920588475,0.811883231,0.671815895,,0.237755363,1.199320615
Apple,Maker of iPhones and Mac computers,Tech Giants,-1.606702686,0.165275352,-0.069141472,-0.017995295,1.102337403,-0.112597686,-0.022107674,-0.266612982,1.424627506
Applebee,Casual dining restaurant chain,Restaurants & Fast Food,-0.127668732,,0.319481334,0.39853726,,0.612084647,,,
Aramark,Provider of food and uniform services,Outsourcing & Staffing,0.019571007,,-0.006569056,-0.724814979,,-0.860933003,,,
Arby's,Fast-food sandwich chain,Restaurants & Fast Food,0.46402913,,0.454263793,-0.805451269,,0.811985893,,,
Arise,Platform for remote customer support,Business Services,2.733940247,-1.035334799,0.597732209,-1.907235745,0.61993692,0.69181817,,0.344229088,0.840609412
Aritzia,Canadian fashion brand,Specialty Retail & Apparel,-2.868733847,,-3.666976316,-0.666799099,,-1.013557278,,,
ASDA,British supermarket chain,Grocery Stores,-0.105816475,,0.36003875,0.178568102,,-0.595146792,,,
Ashley Furniture,American furniture and home goods shop,Specialty Retail & Apparel,-0.858432429,,-0.259945953,-0.248087751,,0.206803984,,,
ASOS,British online fashion retailer,Specialty Retail & Apparel,0.316380686,,0.367069909,0.965561759,,-0.173065679,,,
Assurant,Insurer covering property and casualty,Insurance,0.989953992,-0.665019911,-0.337867607,-0.221958083,0.690516911,-0.207261497,,0.323258648,0.897584753
Aston Carter,Staffing firm under Allegis Group,Outsourcing & Staffing,-0.57254737,,-0.191267206,0.043347681,,-0.085585429,,,
AstraZeneca,Pharmaceutical company based in Britain,Life Sciences & Biopharma,-0.958265276,-0.065924815,0.723610277,0.312084852,0.049777156,0.111460763,1.409287356,-0.537738537,-0.311326166
Asurion,Provider of tech insurance services,Insurance,-1.245736045,-0.544860122,-1.361180224,-1.523955957,-0.710210938,-1.484825298,,-0.754647439,1.189034493
AT&T,Major American telecoms company,Telecommunications,-1.146337177,0.507534906,-0.848402926,-1.441658665,0.055694004,-1.112321383,,-0.12512813,0.576881689
Athleta,Activewear brand owned by Gap,Specialty Retail & Apparel,-0.089919346,,1.873310265,1.384596065,,0.921393749,,,
Atos-Syntel,IT services firm based in India,Software & IT Services,0.068900338,-0.397432688,0.350770668,-0.867618692,0.089696685,0.033488521,-0.36518918,0.512491071,0.098018969
Autodesk,Software firm known for design tools,Software & IT Services,1.120634035,0.646464409,0.995772184,1.212603122,-0.533711933,0.374721959,-0.759160303,0.13541062,-1.797364908
AutoNation,Chain of car dealerships in the US,Specialty Retail & Apparel,-1.550264403,,-0.657136239,-0.655691012,,-0.285419076,,,
AutoZone,Retailer of car parts and accessories,Specialty Retail & Apparel,0.389127219,,-0.009568849,-0.884160659,,-0.063882722,,,
Avanade,Consultancy joint venture from Accenture and Microsoft,Software & IT Services,0.127447744,-0.423828141,0.343388236,0.555148551,-0.083555488,-0.190089481,-0.267421677,0.957714287,0.923552789
Aviva,British multinational insurer,Insurance,-0.207596362,1.606210088,0.597814873,0.698342718,0.041725878,-0.003319385,,0.13331381,-1.25287717
AXA,French insurance and asset management giant,Insurance,0.157011478,0.907422104,0.660498369,0.500433945,0.633101518,0.27791854,,0.608053269,-1.081735916
Aya Healthcare,Healthcare staffing agency,Outsourcing & Staffing,0.849967848,,0.103064984,0.767712532,,0.596914627,,,
B&M Retail,British discount retailer,General Retail,-1.039224814,,-0.794654744,-0.172993378,,-1.338054357,,,
BAE,British defence and aerospace company,Industrials,0.894728392,-0.428412005,-0.076724145,-0.3428248,0.549207519,0.041783689,-0.709894131,-0.713144397,-1.184216707
Bain,Global consultancy based in Boston,Business Consulting,-1.353256493,1.039729695,1.320038434,2.328279828,1.520183746,1.428968755,,1.635764819,1.135438869
Baker Tilly US,Accounting and advisory firm,Business Services,0.443750306,-0.757470785,0.276479893,0.878769248,0.337780658,0.398739046,,1.335795336,0.222869192
Banana Republic,Fashion brand owned by Gap,Specialty Retail & Apparel,0.541025056,,0.763019415,0.306734394,,1.294567335,,,
Bank of America,One of America's largest banks,Financial Services,-0.573314902,0.652341233,0.1192336,-0.574160735,0.677875349,-0.118439715,,0.388649761,0.458846021
Bank of Ireland,One of Ireland's leading lenders,Financial Services,1.027042575,-0.013664461,0.759550964,0.289126555,0.498592272,0.541473449,,0.41095953,-0.339970005
Banque Nationale du Canada,Major Canadian commercial bank,Financial Services,0.081170727,1.315003316,0.767920233,1.010090759,0.976538168,0.440569474,,1.366070001,0.237486882
Barclays,British multinational investment bank,Financial Services,0.192062453,0.130628053,0.566481522,0.292772598,0.176344513,0.017147916,,0.282276114,-1.112668172
Barnes & Noble,Bookseller with a national presence,Specialty Retail & Apparel,0.320014691,,0.91301847,0.591588149,,1.313643072,,,
BASF,German chemicals and materials giant,Industrials,0.023459634,0.055722094,-0.332929496,-0.483012634,0.461813616,-0.263591589,-0.794351305,0.341427352,-1.4333769
Baskin Robbins,Ice cream and dessert chain,Restaurants & Fast Food,1.635690759,,0.518931463,-0.517004501,,0.939951416,,,
Bass Pro Shops,Outdoor and sports gear,Specialty Retail & Apparel,0.302506081,,-0.400836689,0.010605947,,-0.721673263,,,
Bath & Body Works,Soaps and fragrances,Specialty Retail & Apparel,-1.261564037,,0.824889975,0.579445922,,0.546892567,,,
Baxter,Healthcare firm known for IV therapies,Life Sciences & Biopharma,0.186777707,-0.564184765,-0.615512135,-0.897003368,-0.364245621,-0.558244478,-1.526257665,-0.235436413,-0.383835675
Bayer,German pharmaceutical and life sciences firm,Life Sciences & Biopharma,1.210592672,-0.32112866,0.712385449,1.034662024,-0.763629083,0.499849069,-0.109789304,0.716877851,-1.425684831
BBC,Britain's public broadcaster,Media & Entertainment,0.412236743,0.966037071,0.653596235,0.164407873,0.337817999,0.466560122,0.984461573,0.475395382,-2.123731666
BCG,Top-tier management consulting firm,Business Consulting,-1.296793438,0.922563324,1.492334855,1.045789254,1.028631306,0.894229816,,0.633161742,0.650024745
BD,Medical technology company,Life Sciences & Biopharma,0.826930584,-0.003146179,0.029537267,0.48777176,0.180367282,0.294670046,-0.430989877,-0.212297718,-0.925957039
BDO,International network of public accountants,Business Services,-1.090291848,1.200533411,0.811502332,1.337448982,0.994016955,1.263342201,,1.465587332,0.72031226
Beacon Hill Staffing Group,Staffing firm for professional roles,Outsourcing & Staffing,-0.431419737,,0.397904897,1.687961526,,0.91578315,,,
Bed Bath & Beyond,Defunct American home goods retailer,Specialty Retail & Apparel,1.763140457,,1.332281927,0.81796155,,0.837354238,,,
Belk,Regional department store,General Retail,-0.626948258,,-0.367690894,-0.04073867,,-0.629250581,,,
Bell,Canadian telecom company,Telecommunications,0.125859789,1.024096376,1.156577933,1.002547308,1.445626478,1.314047869,,1.64146125,-0.659996762
Best Buy,Consumer electronics retailer,Specialty Retail & Apparel,0.148204931,,0.741159229,0.399781066,,0.316868517,,,
Best Western,Global chain of budget hotels,Travel & Leisure,1.016974604,,1.144812435,-0.61662224,,2.411744251,,,
Big Lots,Discount retailer of household goods,General Retail,0.678309803,,0.941139014,-0.303729597,,0.398691795,,,
Bimbo Bakeries,Large American bakery company,Consumer Products,-1.057968198,-0.916565442,-0.834503848,-1.534407686,0.74677737,-1.632064242,,-1.897422076,0.752078655
Biogen,Biotech firm focused on neurology,Life Sciences & Biopharma,0.848448959,-2.233156781,1.087380073,1.117588399,-2.507716444,-0.661067876,1.453897616,0.835456499,-0.0028385
BJ's Restaurants,Casual dining restaurant chain,Restaurants & Fast Food,0.511884746,,-1.414195347,-0.359801013,,-1.477319648,,,
BJ's Wholesale Club,Membership-based warehouse club,General Retail,0.28429722,,-1.829659923,-1.203191492,,-2.04435588,,,
BlackRock,World's largest asset manager,Financial Services,-0.877537395,0.302001114,0.446171472,-0.050728214,0.51718978,0.294197945,,0.582836982,-0.034228038
Block,Payments company formerly known as Square,Financial Services,2.018317501,1.099573778,0.971805038,0.024544709,-4.425877357,-0.845729065,,-0.000323525,-0.112904682
Bloomberg,Financial data and media firm,Software & IT Services,-0.609231255,0.309817672,-0.242041428,0.255953132,0.988043026,-0.301895105,-0.647224801,0.009950798,-0.336946854
Bloomingdale's,Upmarket department store in the US,General Retail,1.012921489,,-1.712845339,0.006776412,,-0.63493367,,,
Blue Origin,Space firm founded by Jeff Bezos,Industrials,-0.336879948,-1.568567098,-1.622033504,-0.997587396,-2.353012729,-3.389379995,0.285773078,-4.672975942,-0.608506084
BMO,Major Canadian bank,Financial Services,-0.005356191,0.575044582,0.768455238,0.356715365,0.821967558,1.206167565,,0.944619682,0.576535559
BMW,German luxury carmaker,Industrials,-0.921998841,1.499090546,0.428289105,0.247208388,1.253661258,0.966135579,0.437836395,1.090916483,1.244203915
BNP Paribas,French international banking group,Financial Services,0.663210325,0.877417145,0.360633629,0.617372789,1.095322851,0.414925895,,0.527993476,-0.526308433
BNSF Railway,American freight railway company,Supply Chain & Logistics,-2.139216338,,0.1014331,-0.281521537,,-0.936891323,,,
BNY Mellon,American investment management firm,Financial Services,-0.005223633,-0.343778385,-0.113669761,-0.754238433,0.071379031,-0.782546677,,-0.229341273,-0.287938709
Bob Evans Restaurants,Family-style restaurant chain,Restaurants & Fast Food,0.130891715,,0.58468497,-0.125951048,,0.221948981,,,
Bob's Discount Furniture,Furniture retailer with value focus,Specialty Retail & Apparel,0.463851824,,0.716952377,-0.140322884,,0.694257349,,,
Boeing,Aerospace and defence,Industrials,0.802756242,0.269593684,-0.207458639,-0.875323723,0.123264176,-1.109427024,-1.102515868,-0.898227736,-1.710686577
Bombardier,Canadian plane and train maker,Industrials,0.372340654,0.957653677,1.19471143,1.289039787,0.647088531,0.959108567,-0.434476252,0.728098268,0.345788054
Booking.com,Travel booking platform,Internet,-0.583287811,1.223469746,1.906262309,1.979017842,0.958146338,0.844768325,0.000411443,1.847444028,-1.310593546
Snap,Social media platform for multimedia messaging,Internet,-1.605690573,-0.264763298,0.174541725,0.329479127,-0.976901563,-1.464622625,2.241857464,0.288584518,-0.238771902
Boots,British pharmacy and health retailer,General Retail,-1.133078227,,0.336669654,0.331538565,,0.021873355,,,
Booz Allen Hamilton,American consultancy with government focus,Business Consulting,1.529761625,0.470816643,0.727691348,1.111238162,0.58200344,0.739061848,,0.038459999,-0.712898195
Bosch,German engineering and electronics firm,Industrials,0.301646685,0.871235197,1.428273316,1.466735419,1.036768599,0.956386245,0.641611871,1.052703047,-0.538213491
Boston Scientific,Medical device manufacturer,Life Sciences & Biopharma,0.444209935,0.625738067,0.877542476,1.107810924,1.38230117,1.217494498,0.07295352,0.982458844,0.479766957
Bread Financial,Financial services firm formerly Alliance Data,Financial Services,0.886080083,1.682648429,2.048744055,2.785188569,0.387850571,2.359400973,,1.094308554,1.321362494
Bridgestone,Japanese tyre and rubber company,Industrials,-0.85429732,0.308801404,-0.467573891,0.21643279,-0.323409316,-0.200651518,-0.21277672,-0.320766162,0.778595597
Bristol Myers Squibb,Biopharmaceutical firm focused on oncology,Life Sciences & Biopharma,0.465983723,0.11783685,0.113512355,-0.675224536,-1.48653793,-0.198484459,-0.164346559,0.664022344,-0.711002384
British Airways,Premium British airline,Travel & Leisure,-0.11759389,,-0.148395287,-1.811218052,,-0.558353429,,,
Broadcom,Semiconductor and infrastructure software,Tech Giants,0.255096199,-0.395922476,-0.333961741,-0.339600243,-0.044536393,0.266096345,-0.830208198,0.133124603,0.124299995
BT Group,British telecoms and broadband provider,Telecommunications,0.339855721,0.534352271,0.636854164,0.248285305,-0.817867251,0.455721561,,0.090335655,-2.964049431
Buc-ee's,Texas-based chain of travel centers,Grocery Stores,-1.793271508,,-3.092096451,-2.395308474,,-1.954412117,,,
Buffalo Wild Wings,Sports bar and restaurant chain,Restaurants & Fast Food,-0.18874768,,-1.149765023,-0.429615286,,-1.255137629,,,
Burberry,British luxury fashion house,Specialty Retail & Apparel,-0.307573597,,-1.281239169,-0.841616453,,-1.125847001,,,
Burger King,Global fast-food burger chain,Restaurants & Fast Food,0.337920275,,0.870986173,-0.270303299,,0.312391924,,,
Burlington Stores,American off-price department store,General Retail,-0.413086246,,0.483875767,0.059717092,,0.171223538,,,
CACI International,IT contractor for American government,Software & IT Services,0.244090315,0.368856278,0.117250095,0.331277613,0.963669426,1.471904156,-0.291836545,-0.291492427,1.880313298
CAE,Aviation training and simulation,Industrials,0.707933917,-0.405460184,-0.114845251,0.792219353,-0.593159367,-0.004181131,0.108749413,-0.268530516,-0.082838014
Caesars Entertainment,Casino and hotel company,Travel & Leisure,1.100966006,,-0.419260611,-0.936018654,,-0.802478992,,,
Caff̬ Nero,European-style coffeehouse chain,Restaurants & Fast Food,-1.952340283,,0.900169368,1.232786977,,0.857476512,,,
Canada Life,Canadian insurance and financial firm,Insurance,0.275995959,-0.044806459,0.457010676,1.130629291,0.358909045,1.001800864,,0.70866601,-1.897989007
Canadian Tire,Retailer of automotive and hardware goods,General Retail,1.991935488,,1.850033131,2.341100341,,2.103799083,,,
Capco,Consulting firm for financial services,Business Consulting,0.833618939,-0.144253338,0.851414158,0.737058186,-0.957472649,0.740606967,,-0.011047142,1.897149296
Capgemini,Global consulting and IT services,Software & IT Services,0.079177619,-0.163298994,0.77445877,0.076012594,0.843507265,0.464312788,0.208038151,0.602350489,0.475613438
Capita,UK outsourcing and services provider,Business Services,0.728731681,0.050137294,-0.276695004,-1.237334474,-1.078575206,-1.66074815,,-0.792660548,-0.39230943
Capital Group,Investment firm managing mutual funds,Financial Services,0.042562879,0.281703966,-1.09466987,0.608482768,-0.064802911,-0.251064614,,-0.797348918,-1.525364437
Capital One,American bank and credit card issuer,Financial Services,1.160738877,0.173679332,-1.176290542,-0.219643349,-0.308082528,-0.746733885,,-0.078658164,-0.18640771
Cargill,Agribusiness giant based in Minnesota,Consumer Products,-0.283090143,0.137818832,-0.773733057,-0.418785332,0.137591073,-0.106489232,,-0.617235384,-0.847365473
CarMax,American used car retailer,Specialty Retail & Apparel,0.585052736,,0.728420746,1.712529185,,1.173356697,,,
Carnival,Cruise line operator,Travel & Leisure,-0.581379492,,1.502665833,0.980610564,,1.331882242,,,
Carrier,Manufacturer of HVAC systems,Industrials,0.284141725,-2.035602204,-0.651648548,-0.135967979,-0.790570707,0.17231093,-1.132293293,-1.355567812,0.10625781
Carter's,Children's apparel brand based in the US,Specialty Retail & Apparel,0.792804034,,0.070035868,1.267937315,,1.065607252,,,
CARVANA,Online platform for buying used cars,Specialty Retail & Apparel,0.022282854,,-1.732440733,-1.023408921,,-2.047874528,,,
Casey's,Chain of convenience stores in the Midwest,Grocery Stores,-0.558574669,,-1.574395542,-2.134231788,,-1.778289437,,,
Catalent,Pharmaceutical contract development,Life Sciences & Biopharma,-1.754739427,-1.229107962,-1.091537885,-1.85307689,-0.290526891,-2.558601856,-0.451707062,-2.25715746,1.95568127
Caterpillar,Construction and mining equipment manufacturer,Industrials,0.176453924,1.385806588,-0.999245142,0.173260124,0.62708534,-0.131553087,-0.226614185,0.38329016,0.235984336
Cellular Sales,Wireless retailer for Verizon products,Specialty Retail & Apparel,0.418286215,,-0.241068347,0.728821223,,0.88493219,,,
Centene,Health insurance provider for government programs,Insurance,1.862035887,-1.003774501,0.249888627,-0.278656405,-0.815369112,-0.097812454,,0.047569255,-0.223865189
Cerner,Healthcare IT company focused on EHR systems,Software & IT Services,-0.428685586,-0.054519912,0.566191258,-0.547771763,0.303596195,0.66958272,0.402891713,0.547466118,1.26256093
CGI,Canadian IT and business consulting firm,Software & IT Services,0.124723974,1.08894083,0.602587726,0.023139951,1.111913108,0.855722705,-0.857966423,0.911771891,0.84069538
CH Robinson,Third-party logistics and supply chain company,Supply Chain & Logistics,1.292989605,,0.762749318,1.145001545,,1.292825336,,,
Charles River Laboratories,Provider of preclinical and clinical lab services,Life Sciences & Biopharma,-1.027134791,-1.492100775,-1.512871078,-1.189455026,0.571513651,-0.511418863,-0.364314888,-1.819529485,1.633581056
Charles Schwab,US-based brokerage and financial services,Financial Services,-0.269842772,-1.739190079,0.003826633,0.173507073,0.372057054,-0.079064354,,-1.566674829,-0.40426009
Charter Communications,American telecommunications and cable operator,Telecommunications,-1.389947988,-1.065045106,-0.590950433,-0.586443357,1.002918068,-0.970938834,,-0.743346813,0.453448562
Chewy,Online pet supplies retailer,Specialty Retail & Apparel,1.028086592,,0.071617455,0.846737938,,-0.395835972,,,
Chick-fil-A,Fast-food chain known for chicken sandwiches,Restaurants & Fast Food,0.311067272,,-0.184562006,2.277096998,,1.325093636,,,
Chili's Grill and Bar,Casual dining restaurant chain,Restaurants & Fast Food,0.073321014,,-0.068057587,-0.00957552,,0.554709039,,,
Chipotle,Fast-casual Mexican restaurant chain,Restaurants & Fast Food,-0.900725329,,0.072879179,-1.104435272,,-1.521735198,,,
Chubb,Global insurer based in Switzerland,Insurance,-1.352603546,0.342276435,-0.029028668,-0.272074509,1.177998996,0.349031784,,1.199258833,-1.455279085
Chuck E. Cheese,Family entertainment center and restaurant chain,Restaurants & Fast Food,0.034180927,,0.526757439,0.782993718,,1.17179586,,,
Cigna,Healthcare and insurance services firm,Insurance,1.036923498,-0.314595825,-0.497039258,-1.163379861,-0.668158018,-0.108619381,,-0.690706365,-0.342956151
Cinemark,American cinema chain,Media & Entertainment,-0.368013886,1.143013424,-0.632776074,-0.808624899,0.786625365,-0.071941702,,0.809224525,1.299654156
Cineplex,Canadian cinema and entertainment firm,Media & Entertainment,-0.356564257,0.442240918,0.847560798,-0.834945093,0.759106764,1.034509781,-1.513759563,1.267389856,1.133151049
Cintas,Provider of corporate uniforms and facility services,Outsourcing & Staffing,0.065507453,,-0.237304932,-0.19088544,,-0.315883549,,,
Circle K,International chain of convenience stores,Grocery Stores,-0.021202564,,-0.513462058,-1.306567992,,0.127745426,,,
Cisco,Networking hardware and software company,Tech Giants,1.69965345,0.799337955,0.61560218,1.255864295,-1.330016925,0.001593361,-1.520796447,-0.392963928,-0.817596592
Citi,Multinational investment bank and financial services,Financial Services,-0.246658819,-0.248920952,0.121471025,-0.764377071,-0.508240771,-0.30241657,,0.195435196,-1.309147628
Citizens,Regional American bank,Financial Services,-0.005667028,0.632695081,0.016580707,0.708148004,0.077425421,-0.105880236,,0.269525472,0.940378381
CliftonLarsonAllen,Accounting and professional services firm,Business Services,-1.000568318,-0.440077469,0.567392513,1.096318157,0.030967053,0.428558802,,-0.069376643,0.676268762
Claire's Stores,Retailer of fashion jewelry and accessories,Specialty Retail & Apparel,-1.16498726,,-0.64332462,-1.700538692,,-0.895874918,,,
